"                                      car";"area";"uf";"mun";"modulo_fiscal";"tipo_imovel";"situacao";"condicao                                       "
" MG-3134202-3F7892EC84574E85ACB4B688FA50FC3F";"9.6772";"MG";"Ituiutaba";"0.3226";"IRU";"AT";"Aguardando análise"
" MG-3134202-74BEB20AB05C4C1CBC9A125C920AAE32";"59.6551";"MG";"Ituiutaba";"1.9885";"IRU";"AT";"Aguardando análise"
" MG-3134202-F2886EC24EDA4FE8B47AECDF6F5D77CD";"357.2617";"MG";"Ituiutaba";"11.9087";"IRU";"AT";"Aguardando análise"
" MG-3134202-5005620EBEC242CC8CE9461AFAF89171";"45.4130";"MG";"Ituiutaba";"1.5138";"IRU";"AT";"Aguardando análise"
" MG-3134202-245F66AB68F54AD681E6A4EC23D20ABC";"24.0886";"MG";"Ituiutaba";"0.8100";"IRU";"AT";"Aguardando análise"
" MG-3134202-88255B8CA1784EFBABB382B54B9C5BF5";"69.3753";"MG";"Ituiutaba";"2.3125";"IRU";"AT";"Aguardando análise"
" MG-3134202-0650853627F044BEBE259046BE4750DA";"33.3745";"MG";"Ituiutaba";"1.1125";"IRU";"AT";"Aguardando análise"
" MG-3134202-68520647D2E64B32BDE94720088DFD06";"29.4755";"MG";"Ituiutaba";"0.9825";"IRU";"AT";"Aguardando análise"
" MG-3134202-32C87FB16FC3435980630C417EE98AE7";"121.0100";"MG";"Ituiutaba";"4.0337";"IRU";"AT";"Aguardando análise"
" MG-3134202-A14CB467B817479286279026801BCD5B";"20.0622";"MG";"Ituiutaba";"0.6687";"IRU";"AT";"Aguardando análise"
" MG-3134202-1B2730374D1A4B6999C4429D9DF740C4";"22.3849";"MG";"Ituiutaba";"0.7462";"IRU";"AT";"Aguardando análise"
" MG-3134202-96E1C958E4E345B58879297F1BF371EA";"27.0862";"MG";"Ituiutaba";"0.9029";"IRU";"AT";"Aguardando análise"
" MG-3134202-09FE52DE0D714C05809A659BEFE84332";"43.7528";"MG";"Ituiutaba";"1.4584";"IRU";"AT";"Aguardando análise"
